target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1713b81d__c6f1ea3965204443.png,DoS,4294902017,1000000.0,131,65,14,5,0,0,0,0,0,0,0,0,0,0,40,0.075,0.0,8,13,25,2.5552208323774015,0.175
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1713bc15__07b0a660e2b8aaa1.png,DoS,4194369537,1000000.0,225,113,9,7,0,0,0,0,0,0,0,0,0,0,104,0.6826923076923077,0.11538461538461539,16,7,43,4.98741108431012,0.0673076923076923
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1715b7d8__bb34fee0a0a7d132.png,DoS,4294967295,1000000.0,173,85,42,13,0,0,0,0,0,0,0,0,0,0,117,0.28205128205128205,0.0,32,16,37,3.445909396056853,0.26495726495726496
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1716b8f9__d5e7e55339f41bd4.png,DoS,4294287872,1000000.0,235,123,15,5,0,0,0,0,0,0,0,0,0,0,87,0.16091954022988506,0.011494252873563218,22,16,30,3.275370208667504,0.14942528735632185
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1716b998__7beccf618b131397.png,WRITE,4278313115,1000000.0,54,29,6,1,0,0,0,0,0,0,0,0,0,0,19,0.10526315789473684,0.0,4,4,10,2.6895253832100687,0.21052631578947367
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1717b84a__d08c85dacebdb2bf.png,DoS,4293215297,1000000.0,222,115,15,13,0,0,0,0,0,0,0,0,0,0,183,0.2185792349726776,0.01639344262295082,38,8,63,4.941180700164065,0.1912568306010929
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1717b8c0__4a5fa8249dc79401.png,WRITE,4292935937,1000000.0,224,113,27,15,0,0,0,0,0,0,0,0,0,0,99,0.29292929292929293,0.0,18,11,28,3.654643325433644,0.1717171717171717
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1718ab69__ec0bdf6065c8e8d9.png,DoS,4294312192,1000000.0,162,84,8,2,1,1,1,0,0,0,0,0,0,0,47,0.23404255319148937,0.0,7,8,35,2.899940358775551,0.0851063829787234
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1718b8a1__86dc40d57dd48bfd.png,DoS,4292935681,1000000.0,93,49,10,5,0,0,0,0,0,0,0,0,0,0,31,0.0967741935483871,0.0,9,3,19,2.872605180935881,0.1935483870967742
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1719c20a__b7c354d033c9919e.png,DoS,4294967295,1000000.0,173,85,44,13,0,0,0,0,0,0,0,0,0,0,112,0.24107142857142858,0.0,32,16,37,3.371806489567844,0.2767857142857143
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+171a4bd2__f8d3304493fff210.png,WRITE,2131296513,1000000.0,106,50,0,8,0,0,0,0,0,0,0,0,0,0,33,0.3939393939393939,0.0,10,11,15,2.399756884392275,0.0
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+171bb7d8__91c66edcd6adeca5.png,DoS,4294967084,1000000.0,227,113,41,13,0,0,0,0,0,0,0,0,0,0,67,0.2835820895522388,0.0,14,5,32,3.878326410328668,0.31343283582089554
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+171bc19c__df7dac7edf66652c.png,DoS,4294967295,1000000.0,164,79,57,11,0,0,0,0,0,0,0,0,0,0,133,0.11278195488721804,0.0,43,22,50,3.2384205555443226,0.39849624060150374
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+171cc2b9__37ca7b74b8ac9693.png,DoS,4293215297,1000000.0,211,107,20,21,-1,1,0,0,0,0,0,0,0,0,228,0.18421052631578946,0.0,69,8,39,4.549645438056501,0.24561403508771928
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+171db8eb__e446ae62224a16a6.png,DoS,4294967295,1000000.0,249,127,44,1,0,0,0,0,0,0,0,0,0,0,159,0.660377358490566,0.0,9,10,23,5.326419765993686,0.16352201257861634
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1724bdc4__2c24dce27a007aed.png,READ,4282731849,1000000.0,240,124,28,4,0,0,0,0,0,0,0,0,0,0,157,0.2929936305732484,0.012738853503184714,32,8,82,4.879006969793605,0.2356687898089172
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1726b755__f54c8905cbb94d45.png,DoS,4294967295,1000000.0,163,79,53,15,0,0,0,0,0,0,0,0,0,0,109,0.13761467889908258,0.0,38,16,53,3.0887075508795965,0.3211009174311927
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1727ab3f__946d1de0de81a3ff.png,DoS,4278255360,1000000.0,201,106,20,20,1,1,1,1,0,3,0,0,0,0,324,0.5123456790123457,0.037037037037037035,42,9,87,6.047724941256951,0.21296296296296297
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1727b7ae__e481418fda226365.png,DoS,4278256129,1000000.0,227,115,32,13,0,0,0,0,0,0,0,0,0,0,97,0.24742268041237114,0.010309278350515464,21,7,20,3.892971919464538,0.18556701030927836
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1727b7d8__2f02ba160f258e9e.png,READ,4244833284,1000000.0,215,106,36,20,0,0,0,1,0,3,0,0,0,0,215,0.5255813953488372,0.018604651162790697,22,14,39,5.613978566556349,0.22790697674418606
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1727b953__fc51c7083e8c1719.png,READ,4282731849,1000000.0,240,124,28,4,7,7,7,0,0,0,0,0,0,0,157,0.29936305732484075,0.012738853503184714,31,8,49,4.917265089370982,0.24203821656050956
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1727bbe8__c5f9fbdac05d6f00.png,READ,4294903814,1000000.0,241,126,32,2,0,0,0,0,0,0,0,0,0,0,149,0.2550335570469799,0.013422818791946308,30,7,74,4.891762418811573,0.2684563758389262
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1728ab52__a9207bb406e3882e.png,DoS,4286513152,1000000.0,209,112,24,16,0,0,0,0,0,4,0,0,0,0,525,0.6038095238095238,0.030476190476190476,71,9,81,6.058703283414745,0.15047619047619049
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1728aef3__a85e3e2d95aa89c6.png,READ,4294903814,1000000.0,239,126,34,2,0,0,0,1,0,1,0,0,0,0,184,0.33152173913043476,0.03260869565217391,33,7,87,5.3086378974265145,0.24456521739130435
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1728b853__e642245a57e3ab52.png,DoS,111111111111,1000000.0,244,130,14,0,0,0,0,1,0,3,0,0,0,0,393,0.72264631043257,0.09669211195928754,25,13,35,5.468675222880909,0.07888040712468193
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1728bdb9__4298affa42fbacf7.png,READ,4294902143,1000000.0,206,108,20,12,0,0,0,0,0,0,0,0,0,0,149,0.28187919463087246,0.0,46,6,35,3.951584065188411,0.20134228187919462
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+1729ab3f__eb2c7ea54dfbf358.png,READ,4286578688,1000000.0,228,116,24,12,0,0,0,0,0,0,0,0,0,0,163,0.294478527607362,0.012269938650306749,34,12,89,4.660007918230824,0.1901840490797546
