target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
frozen,read-0046,READ,2050193784,22351.28299500687,132,132,0,0,1,1,1,1,1,1,1,0,1,0,91726,1.0,0.3666354141682838,0,6,123,3.4598247077032265,0.0
frozen,read-0047,READ,2054840674,62284.8859992119,132,132,0,0,0,0,0,1,1,1,1,0,1,0,32991,1.0,0.3656754872540996,0,4,77,3.45988218242135,0.0
frozen,read-0048,READ,2065851513,23394.502157295738,134,134,0,0,1,1,1,1,1,3,1,0,1,0,88305,1.0,0.36218787158145066,0,6,118,3.46037572261841,0.0
frozen,read-0049,READ,2065851426,30745.954458186363,135,135,0,0,1,1,1,1,1,3,1,0,1,0,67191,1.0,0.3632629370004911,0,6,105,3.460777050932616,0.0
frozen,read-0050,READ,2054847096,14915.487827185227,129,132,0,0,0,0,0,1,1,1,1,0,1,0,137766,1.0,0.3639649841034798,0,6,109,3.4596152334929533,0.0
frozen,read-0051,READ,2054763057,10356.616433384912,132,133,0,0,0,0,0,1,1,1,1,0,1,0,198401,1.0,0.36020987797440535,0,5,106,3.459538827259341,0.0
frozen,read-0052,READ,2054824057,11212.79982210775,129,130,0,0,1,1,1,1,1,1,1,0,1,0,183257,1.0,0.365224793595879,0,7,96,3.4596460536167255,0.0
frozen,read-0053,READ,2054846515,30495.933794393077,136,136,0,0,0,0,0,1,1,1,1,0,1,0,67381,1.0,0.36501387631528176,0,5,90,3.459815337087509,0.0
frozen,read-0054,READ,2054847097,103456.20264827309,207,133,0,0,1,1,1,1,1,1,1,0,1,0,19862,1.0,0.3657234920954587,0,5,89,3.460965254472414,0.0
frozen,read-0055,READ,2065856888,16143.542823205802,130,132,0,0,1,1,1,1,1,3,1,0,1,0,127968,1.0,0.3613090772693173,0,5,122,3.460246580380637,0.0
frozen,read-0056,READ,2065857146,34163.339606416404,135,135,0,0,1,1,1,1,1,3,1,0,1,0,60470,1.0,0.36181577641805857,0,6,111,3.460585730405961,0.0
frozen,read-0057,READ,2054846818,41789.81143356857,134,134,0,0,0,0,0,1,1,1,1,0,1,0,49171,1.0,0.36216469056964473,0,5,83,3.4598524048865866,0.0
frozen,read-0058,READ,2054781304,39446.75185256287,136,136,0,0,1,1,1,1,1,1,1,0,1,0,52090,1.0,0.36663467076214246,0,5,90,3.4600571914395863,0.0
frozen,read-0059,READ,3003221332,38658.96031408895,132,132,1,0,0,0,0,1,1,1,1,0,1,0,77685,1.0,0.36638990796163995,0,5,98,3.459701107517182,0.0
frozen,read-0060,READ,2054775672,19446.31730769231,131,132,0,0,1,1,1,1,1,1,1,0,1,0,105664,1.0,0.3641826923076923,0,6,94,3.459813968324225,0.0
frozen,read-0061,READ,2053273698,30085.03711409691,130,130,0,0,0,0,0,1,1,1,1,0,1,0,68249,1.0,0.36155841111225073,0,6,97,3.4597734349516145,0.0
frozen,read-0062,READ,2054840864,51947.64040853474,136,136,0,0,1,1,1,1,1,1,1,0,1,0,39556,1.0,0.36479927191829303,0,5,82,3.460375032578557,0.0
frozen,read-0063,READ,2054763362,34353.1232675171,139,139,0,0,0,0,0,1,1,1,1,0,1,0,59813,1.0,0.3647534816845836,0,5,99,3.459827929273699,0.0
frozen,read-0064,READ,1099511627776,1000000.0,137,137,2,0,1,1,1,1,1,1,1,0,1,0,53242,1.0,0.3614815371323391,0,6,77,3.4600811681942556,0.0
frozen,read-0065,READ,2065850658,27075.01419378514,132,132,0,0,1,1,1,1,1,3,1,0,1,0,76301,1.0,0.36299655312512286,0,6,107,3.460464488784633,0.0
frozen,read-0066,READ,2053333809,11958.706415766852,133,134,0,0,1,1,1,1,1,1,1,0,1,0,171702,1.0,0.3613702810683626,0,5,98,3.459656473873554,0.0
frozen,read-0067,READ,2053333553,24048.505592448146,134,134,0,0,0,0,0,1,1,1,1,0,1,0,85383,1.0,0.36364381668482015,0,5,85,3.4597358877781828,0.0
frozen,read-0068,READ,2054775650,13693.848424868878,132,134,0,0,0,0,0,1,1,1,1,0,1,0,150051,1.0,0.3635030756209555,0,5,115,3.459604844710289,0.0
frozen,read-0069,READ,2054840931,16002.063148795663,140,140,0,0,0,0,0,1,1,1,1,0,1,0,128411,1.0,0.3628115971373169,0,6,119,3.459562125886084,0.0
frozen,read-0070,READ,2054846817,14118.19505173622,131,131,0,0,1,1,1,1,1,1,1,0,1,0,145546,1.0,0.3627512951231913,0,6,124,3.4597012116945156,0.0
frozen,read-0071,READ,2054781305,15945.10037558394,129,130,0,0,0,0,0,1,1,1,1,0,1,0,128866,1.0,0.3630981019043037,0,5,90,3.459643575836338,0.0
frozen,read-0072,READ,2065856611,50116.6058804978,129,129,0,0,1,1,1,1,1,3,1,0,1,0,41221,1.0,0.36711870163266297,0,5,90,3.46114364504456,0.0
frozen,read-0073,READ,2065850744,10488.202427793207,132,132,0,0,1,1,1,1,1,3,1,0,1,0,196969,1.0,0.3647985215947687,0,6,113,3.459966189271037,0.0
frozen,read-0074,READ,2065856890,21105.153957745904,133,133,0,0,1,1,1,1,1,3,1,0,1,0,97884,1.0,0.36172408156593516,0,5,89,3.4602059447411606,0.0
frozen,read-0075,READ,2054775417,18348.338798253368,135,135,0,0,0,0,0,1,1,1,1,0,1,0,111987,1.0,0.3631760829381982,0,5,111,3.4596175962344544,0.0
